converted_date,.geo,LST_AVE
2022-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14302
2023-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14347
2022-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14348
2023-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14356
2022-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14357
2022-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14367
2023-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14383
2022-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14384
2023-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14386
2023-12-13,"{""type"":""MultiPoint"",""coordinates"":[]}",14387
2023-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14390
2023-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14391
2023-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14393
2023-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14394
2023-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14397
2023-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14398
2023-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14399
2023-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14400
2023-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14402
2023-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14404
2022-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14405
2023-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14406
2022-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14408
2023-12-22,"{""type"":""MultiPoint"",""coordinates"":[]}",14418
2022-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}",14422
2023-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14431
2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14435
2021-11-30,"{""type"":""MultiPoint"",""coordinates"":[]}",14445
2023-01-22,"{""type"":""MultiPoint"",""coordinates"":[]}",14450
2023-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14458
2022-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14461
2023-12-22,"{""type"":""MultiPoint"",""coordinates"":[]}",14464
2023-12-22,"{""type"":""MultiPoint"",""coordinates"":[]}",14465
2022-11-28,"{""type"":""MultiPoint"",""coordinates"":[]}",14467
2022-11-28,"{""type"":""MultiPoint"",""coordinates"":[]}",14472
2022-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14475
2022-11-28,"{""type"":""MultiPoint"",""coordinates"":[]}",14487
2022-11-08,"{""type"":""MultiPoint"",""coordinates"":[]}",14489
2024-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14490
2022-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14492
2023-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}",14493
2024-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14494
2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14496
2022-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14497
2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14498
2023-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14499
2022-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14500
2023-12-13,"{""type"":""MultiPoint"",""coordinates"":[]}",14502
2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14503
2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14504
2022-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}",14507
2022-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14509
2022-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14513
2024-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14517
2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14519
2022-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}",14521
2022-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14522
2023-11-06,"{""type"":""MultiPoint"",""coordinates"":[]}",14524
2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14526
2023-12-22,"{""type"":""MultiPoint"",""coordinates"":[]}",14527
2022-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14528
2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14531
2023-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}",14532
2022-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14534
2022-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}",14535
2022-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14536
2023-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14537
2023-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14538
2024-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14539
2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14542
2022-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14543
2022-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14544
2022-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14545
2022-12-04,"{""type"":""MultiPoint"",""coordinates"":[]}",14546
2023-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14547
2022-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14548
2024-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14551
2024-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14552
2023-12-22,"{""type"":""MultiPoint"",""coordinates"":[]}",14554
2023-12-22,"{""type"":""MultiPoint"",""coordinates"":[]}",14555
2024-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14556
2024-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14557
2023-12-06,"{""type"":""MultiPoint"",""coordinates"":[]}",14558
2024-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14559
